Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would like to be able to reserve more quiet time,Annoyed,45 - 54,Male,Employed full-time,UK,Yes definitely,Creativity,Freedom,Collaboration
"Yes, I consent",11–20 minutes,Smartphone notifications,Often,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",The ability to reduuce time on smartphone,disengaged,25 - 34,Male,Employed full-time,UK,Somewhat,family,relationships,freedom
"Yes, I consent",11–20 minutes,"Background noise / environment, Colleagues, family, or friends",Sometimes,Rarely,Never,Somewhat aligned,Neutral,"Silencing notifications, Scheduling focus time / using timers",I would move to a quieter place.,Frustrated ,35 - 44,Female,Unemployed,United States ,Somewhat,Following my heart.,Being true to myself.,Compassion for others.
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,have private spaces to work within when high focus is required,frustrated,35 - 44,Male,Self-employed,United Kingdom,Somewhat,honesty,respect,trust
"Yes, I consent",Less than 5 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Often,Often,Somewhat misaligned,No noticeable difference,"Silencing notifications, Working in quiet spaces",ability to stop being pestered by family,resigned,55 +,Female,Employed part-time,UK,Not really,my husband,my family,
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries, Physical pain.",Often,Often,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Better pain control / management.,Scattered.,55 +,Female,Other,"South-East England, UK",Yes definitely,Eternal life; integrity; critical thinking.,Wisdom.,Acceptance.
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",I would remove my smartphone so I am not distracted ,Frustrated ,25 - 34,Female,Employed full-time,North West,Yes definitely,Reliability,Openness,Confidence 
"Yes, I consent",More than 30 minutes,Social media scrolling,Rarely,Sometimes,Rarely,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Stop scrolling social media.,Frustrated,25 - 34,Male,Employed full-time,United Kingdom,Somewhat,"Open-mindedness, forward thinking, liberal. ",Loyalty,Trust
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Sometimes,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Get better sleep.,Annoyed,45 - 54,Male,Employed part-time,UK,Somewhat,"Loyal, Honest, Understanding",Reliable,Calm
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,Aligning tasks with personal priorities or values,Write a to-do list rather than trying to store it in my head.,Frustrated,55 +,Female,Other,United Kingdom,Not really,Family,Financial security,Independence and freedom
"Yes, I consent",21–30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Rarely,Never,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I would like to change working environments so I could work in a more spacious office and without the distractions presented by work colleagues and the general office sounds that are ever present.,Frustrated ,45 - 54,Male,Employed full-time,Australia ,Somewhat,Honesty. ,Integrity.,Loyalty.
"Yes, I consent",11–20 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Often,Almost always,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","I would like to be able to stop daydreaming so much, because I tend to get lost in my thoughts and then find time has passed when I should have been focused on something else.",Frustrated,35 - 44,Female,Self-employed,United Kingdom,Not really,Productivity,Achievement,Purpose
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Often,Almost always,Neutral,Neutral,Taking breaks / exercise,To turn off my phone,Annoyed,25 - 34,Male,Employed full-time,United Kingdom,Somewhat,Caring,,
"Yes, I consent",21–30 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Often,Sometimes,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",lose Teams as it is so distracting,frustrated,45 - 54,Female,Employed full-time,UK south west,Not really,"kindness,"," empathy, ",integrity
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Often,Almost always,Almost always,Somewhat aligned,I feel much more focused and energized,Taking breaks / exercise,"Silence other things, thoughts and ideas in my brain.",Impatient,45 - 54,Female,Self-employed,United Kingdom,Yes definitely,Gratitude,Growth,Authenticity
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries, The dog requiring attention",Rarely,Often,Rarely,Neutral,I feel somewhat more focused,Working in quiet spaces,I would be more able to calm my mind and clear it of worries/distracting thoughts.,frustrated,55 +,Female,Other,United Kingdom,Somewhat,honesty,integrity,loyalty
"Yes, I consent",5–10 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Almost always,Almost always,Sometimes,Somewhat aligned,I feel somewhat more focused,Silencing notifications,To be able to focus for longer without being distracted ,Frustrated ,18 - 24,Female,Employed full-time,United Kingdom,Somewhat,"Compassion, self care, determination ",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Rarely,Rarely,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",Work from home/away from office more to avoid in-office distractions.,Frustrated.,45 - 54,Male,Employed full-time,United Kingdom,Yes definitely,Honesty,Trsutworthy,Respect
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Sometimes,Almost always,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Probably to come off my antidepressants since they seem to have taken away any joy I experienced. Once I'd be able to enjoy what I do again I think I would focus better.,Frustrated ,45 - 54,Female,Other,"South East, UK ",Somewhat,To have a purpose in life,To help others ,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling",Sometimes,Sometimes,Almost always,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Be given time to specifically do one thing. I have multitasking fatigue ,"Like my real, full self at my best capability. I sometimes feel half of a person because of being dragged across 3-4 things at one time",35 - 44,Male,Other,Scotland,Yes definitely,"Honesty, loyalty and fairness",loving,Light hearted
"Yes, I consent",21–30 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Rarely,Rarely,Rarely,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",I’d like to have more control over distractions,Distracted,55 +,Male,Employed full-time,Australia,Not really,Trust,Honesty,Kindness
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Neutral,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",not having my mobile phone with me ,disappointed ,35 - 44,Male,Employed full-time,united kingdom ,Not really,honesty ,determined ,
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Often,Often,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",less time on my phone,disappointed ,25 - 34,Female,Self-employed,"uk, england",Not really,honesty,humbleness,kindness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",be in a quiet room alone -making sure i drink water ,irritated,55 +,Female,Employed full-time,UK,Not really,hard work,sincerity,giving
"Yes, I consent",5–10 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Almost always,Almost always,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Stop procrastinating about everything and overthinking,Disappointed,45 - 54,Female,Self-employed,United Kingdom,Somewhat,Empathy,Honesty,Kindness
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Rarely,Rarely,Somewhat aligned,Neutral,"Working in quiet spaces, Taking breaks / exercise",Working in an area where there are no other people to distract me,frustrated,55 +,Male,Employed full-time,USA,Somewhat,honesty,family,responsibility
"Yes, I consent",21–30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Almost always,Often,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces","Have a space/location that was truly 100%all to myself without having to worry about anyone unexpected knocking at my door, my dog barking, the laundry needing done, dinner started, boyfriend getting off work early/late so coming in whenever and interrupting, etc.",frustrated,45 - 54,Female,Employed full-time,USA,Yes definitely,trust,loyalty,respect
"Yes, I consent",21–30 minutes,"Colleagues, family, or friends",Often,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces",the environment,frustrated ,25 - 34,Male,Employed full-time,United State ,Yes definitely,"hardworking, loving, loyalty",,
"Yes, I consent",More than 30 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Often,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise",Less addicted to my phone!,Disappointed,35 - 44,Female,Employed full-time,UK,Not really,Honesty,Integrity,Empathy
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Almost always,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Get rid of my mobile phone to be honest,Guilty,25 - 34,Male,Employed full-time,United Kingdom - North West,Yes definitely,Family,Kindness,Fairness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Listening to music when working ,Annoyed ,45 - 54,Male,Employed full-time,United States,Yes definitely,Family,Discipline ,Generosity 
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",I would like to be able to focus more on tasks that I find boring.,Frustrated,25 - 34,Female,Employed full-time,England,Somewhat,Honesty,Kindness,Ambition
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Rarely,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Better ability to focus even when around other people ,frustrated ,25 - 34,Female,Employed full-time,"West Midlands, UK ",Somewhat,Integrity,Hard work,kindness
"Yes, I consent",21–30 minutes,Smartphone notifications,Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,Silencing notifications,Having fewer digital interruptions and a calmer environment.,Frustrated,55 +,Male,Unemployed,United Kingdom,Somewhat,Family,Health,Honesty
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Colleagues, family, or friends",Sometimes,Almost always,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",I would wish to have a neurotypical brain.,Distracted.,35 - 44,Female,Unemployed,"Wales, UK",Yes definitely,Authenticity,Reliability,Fairness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Sometimes,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",fewer intrusions,frustrated ,55 +,Male,Self-employed,uk,Yes definitely,fairness,justice,respect
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise, Aligning tasks with personal priorities or values",Have set times for receiving messages and set times for focus,Stressed,25 - 34,Female,Employed part-time,UK,Somewhat,Equal access to necessities,Support and collaboration,Inclusion
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Very strongly aligned,Neutral,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Environment,Guilty,18 - 24,Female,Employed part-time,United States of America,Yes definitely,Responsibility,Integrity,Respect
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Sometimes,Almost always,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",I’d love to change how dependent I am of my cell phone.,Frustrated,25 - 34,Male,Unemployed,United States,Not really,Respect,Loyalty,Humor
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Often,Neutral,I feel somewhat more focused,Working in quiet spaces,Be less distracted by my phone notifications and messages that pop up,Distracted,25 - 34,Female,Employed part-time,United Kingdom,Not really,Intelligence,Critical thinking,Kindness
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Focus on one thing fully.,Muddled,45 - 54,Female,Employed full-time,UK,Yes definitely,Helpful,caring,friendly
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Often,Sometimes,Not aligned at all,Neutral,Taking breaks / exercise,"It is more dependant on what I am working on. For example if I am working on my music, which I am passionate about, I have no problem focusing. For my work I am not passionate about so I can't focus as well. If my work was more meaningful I would be able to focus better.","Indifferent. If I am at work and not rushed, I don't really care too much if I get distracted.",25 - 34,Male,Employed full-time,UK Birmingham,Somewhat,Friendship,Kindness,Trust
"Yes, I consent",5–10 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Often,Sometimes,Rarely,Neutral,I feel somewhat more focused,Silencing notifications,Keeping Stray thoughts from flooding my brain.,Annoyed.,55 +,Male,Employed full-time,Georgia United States,Yes definitely,Honesty,consistency,Morality
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I would be able to switch off extraneous thoughts. Reduce tendencies towards day dreaming,distracted,55 +,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Kind,Resolute
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps",Sometimes,Sometimes,Rarely,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Texting apps like watsup,Lazy,25 - 34,Male,Employed full-time,USA,Somewhat,SIMPLICITY,HARDWORKING,LOVING
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Not having colleagues messaging/ringing,Annoyed,55 +,Female,Employed full-time,UK,Somewhat,conscientious,Honesty,Good morals
"Yes, I consent",21–30 minutes,"Email or messaging apps, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",working in a personal office,lost,35 - 44,Male,Employed full-time,United Kingdom,Not really,Environment,Helping,Progression
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,Neutral,"Scheduling focus time / using timers, Taking breaks / exercise","Constantly speaking in my mind, as it can be loud and distracting",Annoyed,25 - 34,Female,Employed part-time,England,Not really,Being open and honest,Respect,
"Yes, I consent",21–30 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Taking breaks / exercise, Aligning tasks with personal priorities or values","Stop my internal thoughts from interfering in what I do, quieten my mind.",Frustrated,45 - 54,Female,Self-employed,United Kingdom,Somewhat,Integrity,Gratitude,Kindness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Not going off topic so easily, remaining focused on the subject at hand.",Flustered,18 - 24,Female,Employed full-time,United Kingdom,Somewhat,Loyalty,Integrity,Compassion
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Somewhat aligned,Neutral,"Silencing notifications, Taking breaks / exercise",Ignoring my phone,Life,35 - 44,Female,Employed part-time,United Kingdom ,Not really,Honesty,Caring,Humour 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment",Rarely,Never,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces","To increase my ability to focus, the one thing I would alter is eliminating distractions in my environment, whether in the form of noise, notifications, or interruptions, in order to be entirely present with the task I have at hand.

",Frustrated,45 - 54,Female,Employed full-time,USA,Yes definitely,Integrity,Growth,Compassion
"Yes, I consent",21–30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Often,Somewhat misaligned,I feel much more focused and energized,Taking breaks / exercise,"I'd change my working environment so that I could work in a quieter place where I'm not interrupted by people talking to me, it would help me focus more and have less distractions overall.",annoyed,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Curiosity,Compassion
"Yes, I consent",5–10 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Often,Neutral,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","I would like to use less screen time, but I am so used to using either a computer, laptop, phone, or tv even for the background noise.",Aimless,25 - 34,Female,Unemployed,United States,Yes definitely,Family,Love,Appreciation
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Often,Often,Often,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,I would work on making my mind still and laser focused for long,frustrated,35 - 44,Female,Employed full-time,United Kingdom,Yes definitely,Integrity,Honesty,Trust
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Background noise / environment",Often,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Using apps/tools to block distractions",I would want to stop noise around me,incapable,55 +,Female,Employed part-time,United States of America,Yes definitely,Honesty,humility,Drive
"Yes, I consent",More than 30 minutes,"Social media scrolling, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Using apps/tools to block distractions",Getting rid of my smartphone,Sad,35 - 44,Male,Employed part-time,UK,Somewhat,Financial security,being dependable,long term planning
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Rarely,Sometimes,Neutral,Neutral,Working in quiet spaces,for people to stop interrupting me,frustrated,55 +,Female,Unemployed,UK,Not really,Honesty,loyalty,non-judgemental
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,I would change how easily I get distracted.,Irritating ,35 - 44,Female,Unemployed,United States,Somewhat,Loyalty,Empathy,Integrity
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Sometimes,Often,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Use my phone less,scatterbrain,25 - 34,Female,Employed full-time,USA,Yes definitely,honesty,drive,loving
"Yes, I consent",More than 30 minutes,Smartphone notifications,Sometimes,Often,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Working remotely ,Lazy,45 - 54,Male,Employed full-time,UK,Somewhat,Principled,Kind,Family oriented 
"Yes, I consent",11–20 minutes,"Email or messaging apps, Social media scrolling, Background noise / environment",Rarely,Rarely,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise, Aligning tasks with personal priorities or values",My working environment.,Frustrated,35 - 44,Male,Employed part-time,USA,Yes definitely,Honest,Growth,Respect
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise","I would turn off surrounding distractions such as the television, radio, etc.",scatterbrained,45 - 54,Male,Employed full-time,USA,Somewhat,Loyalty, Accountability, Caring
"Yes, I consent",11–20 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Almost always,Almost always,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces","I would like to be able to focus for longer periods so I could read books again, but I lose focus and currently I can't finish one.",Frustrated,45 - 54,Female,Other,Canada,Somewhat,Honesty,Loyalty,Kindness
"Yes, I consent",21–30 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Sometimes,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Stop my MS teams messages and emails coming through ,Frustrated ,45 - 54,Female,Employed full-time,"England, Sussex",Yes definitely,Honesty,Compassion ,Kindness 
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Often,Sometimes,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Reduce notifications,Frustration,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,"trust, family, knowledge",loyalty,
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries, Pain (back /leg/ hand)",Often,Almost always,Often,Somewhat misaligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Stop over thinking,Annoyed,45 - 54,Male,Other,United Kingdom,Not really,Honesty,Independence,Security
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Never,Almost always,Sometimes,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Being able to step away from my work laptop and maybe take a call on a walk got example ,Disappointed with myself,35 - 44,Female,Employed full-time,United kingdom ,Somewhat,Family oriented,Organised,Disciplined
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Neutral,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Eliminating distractions and creating a quiet, organised workspace would significantly enhance my ability to focus and process information efficiently.",Frustrated ,45 - 54,Male,Employed full-time,United Kingdom ,Somewhat,Integrity ,Honesty,Perseverance
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise","I would like to have less distractions, too much noise from outside",Unproductive,45 - 54,Male,Self-employed,England,Somewhat,Honesty,,
"Yes, I consent",21–30 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Almost always,Sometimes,Somewhat aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise",Quieten down the worries constantly in my head,Frustrated,35 - 44,Female,Self-employed,UK,Somewhat,Kindness,Empathy,Respect
"Yes, I consent",More than 30 minutes,Internal thoughts/worries,Sometimes,Often,Almost always,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces",make my mind sharp,irritation,55 +,Female,Employed part-time,United Kingdom,Somewhat,freedom  of choice in as many things as poss ,my health ,living in a fully democratic society 
"Yes, I consent",11–20 minutes,Multitasking / switching tasks,Sometimes,Sometimes,Sometimes,Somewhat aligned,Neutral,"Working in quiet spaces, Taking breaks / exercise",Maybe a mode that blocks my other notifications,Annoyed,18 - 24,Male,Employed full-time,United Kingdom,Somewhat,Honour,Honesty,Respect
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,Silencing notifications,To be able to shut out distracting noises,Annoyed,45 - 54,Female,Other,United Kingdom,Somewhat,Kindness,Fairness,Caring
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Reduce down social media use.,frustrated,35 - 44,Female,Unemployed,wales,Somewhat,"Family, honesty, kindness",,
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Aligning tasks with personal priorities or values",More concentration to complete a task before thinking about and moving on to the next one!,Frustration,55 +,Male,Self-employed,UK,Somewhat,"Honesty, Kindness, Self-Discipline",Wellness,Empathy
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,Always be able to do work somewhere with no interruptions,frustrated ,35 - 44,Female,Employed part-time,England,Somewhat,trusted,empathetic,compassionate
